,Date,High,Low,Open,Price
0,2020-04-24,"1,736.51","1,721.47","1,728.82","1,732.93"
1,2020-04-23,"1,739.74","1,706.26","1,713.56","1,731.58"
2,2020-04-22,"1,719.65","1,680.09","1,687.10","1,714.82"
3,2020-04-21,"1,698.60","1,661.39","1,694.11","1,687.02"
4,2020-04-20,"1,703.46","1,671.49","1,692.25","1,694.11"
5,2020-04-17,"1,719.12","1,679.37","1,715.99","1,684.69"
6,2020-04-16,"1,739.17","1,707.88","1,716.46","1,718.40"
7,2020-04-15,"1,732.27","1,707.71","1,728.80","1,716.60"
8,2020-04-14,"1,747.85","1,708.55","1,712.34","1,729.70"
9,2020-04-13,"1,723.88","1,674.87","1,685.69","1,714.32"
10,2020-04-10,"1,697.50","1,676.00","1,676.00","1,689.90"
11,2020-04-09,"1,691.17","1,643.10","1,646.08","1,684.07"
12,2020-04-08,"1,657.69","1,641.94","1,647.59","1,646.52"
13,2020-04-07,"1,673.55","1,641.89","1,663.03","1,648.95"
14,2020-04-06,"1,669.97","1,597.50","1,597.50","1,663.00"
15,2020-04-03,"1,626.07","1,606.30","1,615.09","1,618.45"
16,2020-04-02,"1,621.15","1,579.04","1,590.52","1,613.79"
17,2020-04-01,"1,603.41","1,566.97","1,571.00","1,595.05"
18,2020-03-31,"1,626.27","1,566.23","1,618.49","1,571.31"
19,2020-03-30,"1,639.61","1,608.72","1,622.00","1,623.30"
20,2020-03-27,"1,637.86","1,612.22","1,632.38","1,623.50"
21,2020-03-26,"1,647.28","1,595.84","1,617.25","1,632.39"
22,2020-03-25,"1,643.05","1,587.20","1,628.19","1,613.79"
23,2020-03-24,"1,638.72","1,553.41","1,553.71","1,622.03"
24,2020-03-23,"1,561.48","1,485.10","1,508.15","1,553.81"
25,2020-03-20,"1,516.25","1,460.30","1,470.54","1,498.24"
26,2020-03-19,"1,501.05","1,464.18","1,485.90","1,471.00"
27,2020-03-18,"1,546.22","1,472.86","1,527.70","1,486.30"
28,2020-03-17,"1,553.26","1,465.81","1,512.45","1,528.57"
29,2020-03-16,"1,573.49","1,451.50","1,550.55","1,514.61"
30,2020-03-13,"1,597.72","1,506.86","1,576.95","1,529.70"
31,2020-03-12,"1,650.47","1,561.01","1,634.80","1,577.08"
32,2020-03-11,"1,671.13","1,632.97","1,649.69","1,635.03"
33,2020-03-10,"1,680.53","1,642.15","1,679.10","1,649.36"
34,2020-03-09,"1,702.96","1,657.74","1,694.40","1,680.20"
35,2020-03-06,"1,692.10","1,648.12","1,670.58","1,674.23"
36,2020-03-05,"1,674.69","1,635.07","1,635.91","1,670.61"
37,2020-03-04,"1,651.65","1,632.06","1,639.76","1,635.83"
38,2020-03-03,"1,649.55","1,587.86","1,590.77","1,639.77"
39,2020-03-02,"1,611.03","1,579.70","1,591.10","1,590.73"
40,2020-02-28,"1,649.48","1,565.86","1,642.15","1,585.13"
41,2020-02-27,"1,660.57","1,635.65","1,640.55","1,642.35"
42,2020-02-26,"1,655.09","1,625.79","1,635.37","1,639.96"
43,2020-02-25,"1,660.86","1,629.10","1,660.72","1,635.38"
44,2020-02-24,"1,689.11","1,652.37","1,659.05","1,660.72"
45,2020-02-21,"1,649.15","1,618.94","1,619.69","1,643.70"
46,2020-02-20,"1,623.79","1,603.98","1,611.71","1,619.70"
47,2020-02-19,"1,613.04","1,599.53","1,601.85","1,611.64"
48,2020-02-18,"1,605.45","1,583.09","1,583.44","1,601.92"
49,2020-02-17,"1,584.81","1,578.60","1,584.70","1,581.10"
50,2020-02-14,"1,585.05","1,573.12","1,576.30","1,584.70"
51,2020-02-13,"1,578.24","1,565.53","1,565.62","1,576.39"
52,2020-02-12,"1,570.59","1,561.80","1,567.73","1,565.63"
53,2020-02-11,"1,574.17","1,562.29","1,572.09","1,567.71"
54,2020-02-10,"1,577.23","1,568.01","1,570.29","1,572.30"
55,2020-02-07,"1,574.18","1,562.39","1,566.86","1,570.29"
56,2020-02-06,"1,568.55","1,552.46","1,556.95","1,566.85"
57,2020-02-05,"1,562.50","1,547.40","1,552.56","1,556.70"
58,2020-02-04,"1,579.57","1,549.14","1,576.40","1,552.56"
59,2020-02-03,"1,591.84","1,571.29","1,590.20","1,576.45"
60,2020-01-31,"1,590.21","1,570.84","1,574.18","1,590.20"
61,2020-01-30,"1,586.16","1,572.65","1,577.09","1,574.21"
62,2020-01-29,"1,578.04","1,563.21","1,566.19","1,577.12"
63,2020-01-28,"1,583.27","1,565.65","1,581.95","1,566.24"
64,2020-01-27,"1,586.81","1,575.81","1,580.10","1,581.94"
65,2020-01-24,"1,576.01","1,556.42","1,563.30","1,570.65"
66,2020-01-23,"1,568.17","1,551.68","1,558.93","1,563.32"
67,2020-01-22,"1,559.63","1,550.08","1,558.03","1,558.92"
68,2020-01-21,"1,568.75","1,546.41","1,560.94","1,558.02"
69,2020-01-20,"1,563.00","1,556.39","1,558.65","1,561.58"
70,2020-01-17,"1,561.45","1,549.36","1,552.90","1,556.61"
71,2020-01-16,"1,558.19","1,548.05","1,556.18","1,552.79"
72,2020-01-15,"1,558.44","1,546.11","1,546.40","1,556.19"
73,2020-01-14,"1,548.95","1,536.12","1,548.31","1,546.37"
74,2020-01-13,"1,562.30","1,546.77","1,562.29","1,548.30"
75,2020-01-10,"1,563.27","1,545.52","1,552.40","1,562.28"
76,2020-01-09,"1,561.67","1,540.18","1,555.76","1,552.37"
77,2020-01-08,"1,611.15","1,552.23","1,573.99","1,555.81"
78,2020-01-07,"1,577.53","1,555.29","1,565.93","1,573.99"
79,2020-01-06,"1,583.44","1,560.90","1,561.15","1,565.96"
80,2020-01-03,"1,553.70","1,528.00","1,528.95","1,551.65"
81,2020-01-02,"1,531.55","1,517.22","1,517.24","1,528.94"
82,2020-01-01,"1,517.48","1,517.19","1,517.24","1,517.30"
83,2019-12-31,"1,525.45","1,514.66","1,515.22","1,517.40"
84,2019-12-30,"1,516.54","1,510.43","1,511.80","1,515.22"
85,2019-12-27,"1,515.47","1,507.05","1,511.55","1,510.67"
86,2019-12-26,"1,512.77","1,497.66","1,499.42","1,511.55"
87,2019-12-25,"1,499.55","1,499.55","1,499.55","1,499.55"
88,2019-12-24,"1,500.77","1,484.41","1,485.57","1,499.56"
89,2019-12-23,"1,486.29","1,477.51","1,478.20","1,485.52"
90,2019-12-20,"1,481.26","1,475.70","1,479.14","1,478.20"
91,2019-12-19,"1,481.97","1,473.01","1,475.44","1,479.15"
92,2019-12-18,"1,479.67","1,470.32","1,476.45","1,475.44"
93,2019-12-17,"1,480.78","1,474.23","1,476.25","1,476.45"
94,2019-12-16,"1,480.03","1,472.99","1,475.60","1,476.25"
95,2019-12-13,"1,478.22","1,462.48","1,469.47","1,475.81"
96,2019-12-12,"1,486.95","1,464.78","1,474.85","1,469.43"
97,2019-12-11,"1,479.04","1,462.59","1,464.19","1,474.85"
98,2019-12-10,"1,469.36","1,459.80","1,461.93","1,464.21"
99,2019-12-09,"1,465.80","1,458.76","1,459.49","1,461.99"
100,2019-12-06,"1,477.45","1,458.61","1,475.70","1,459.76"
101,2019-12-05,"1,480.72","1,472.90","1,474.34","1,475.70"
102,2019-12-04,"1,484.55","1,471.39","1,477.34","1,474.35"
103,2019-12-03,"1,482.22","1,459.39","1,462.50","1,477.34"
104,2019-12-02,"1,467.03","1,453.91","1,467.03","1,462.44"
